hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
01412	RNH1	NP_002930.2	RI;RNase inhibitor;RAI;RNH;PRI;Ribonuclease/angiogenin inhibitor
01413	SERPINB6	NP_004559.4	PI6;Placental thrombin inhibitor;PTI;Cytoplasmic antiproteinase;CAP
01414	JUP	NP_002221.1	Junction plakoglobin;Plakoglobin;PKGB;Desmoplakin III;DP III;DP3
01415	ENPP1	NP_006199.2	Ectonucleotide pyrophosphatase/phosphodiesterase 1;Phosphodiesterase I/nucleotide pyrophosphatase 1;PDNP1;Plasma cell membrane glycoprotein PC1;PC1;PCA;Membrane component chromosome 6 surface marker 1;M6S1;NPPS
01416	PLGLB2	NP_002656.1	PRGB;Plasminogen related protein B;PLGL
01417	PLG	NP_000292.1	Microplasmin;Angiostatin
01418	SERPINE1	NP_000593.1	PAI1;PAI;PLANH1;Serpine 1;Plasminogen activator inhibitor, beta migrating endothelial cell derived type;PAIE;Endothelial plasminogen activator inhibitor
01419	PLAT	NP_000921.1	Plasminogen activator tissue type isoform 3;Plasminogen activator tissue type isoform 1 preproprotein;Plasminogen activator, tissue type;TPA;Alteplase;Reteplase;tPU;t-plasminogen activator;Tissue plasminogen activator
01420	SERPINB2	NP_002566.1	PLANH2;PAI2;Monocyte arginine serpin;Plasminogen activator inhibitor, type 2
01421	PLAUR	NP_002650.1	Plasminogen activator, urokinase receptor isoform 1 precursor;Plasminogen activator, urokinase receptor isoform 2 precursor;Plasminogen activator, urokinase receptor isoform 3 precursor;UPA Receptor;UPAR;CD87 antigen;uPAR;Monocyte activation antigen Mo3;CD87
01422	PTAFR	NP_000943.1	-
01423	PDGFRB	NP_002600.1	Platelet derived growth factor receptor, beta;PDGFR;PDGFR1
01424	PDGFA	NP_002598.4	PDGF A-chain;Platelet-derived growth factor alpha chain;PDGF1;Platelet-derived growth factor alpha isoform 1 preproprotein;Platelet-derived growth factor alpha isoform 2 preproprotein;Platelet derived growth factor, alpha polypeptide;Platelet derived growth factor, A chain
01425	PECAM1	NP_000433.3	Platelet endothelial cell adhesion molecule 1;CD31 antigen;EndoCAM;GPIIA;HEC7;Leukocyte surface protein precursor
01426	PF4	NP_002610.1	Small inducible cytokine subfamily B member 4;SCYB4;Oncostatin A;Iroplact
01427	PF4V1	NP_002611.1	Platelet factor 4-alternate;PF4A;PF4-ALT;Platelet factor 4 variant;PF4var1;PF4alt
01428	ITGB3	NP_000203.2	Platelet glycoprotein IIIa;GP3A;Platelet fibrinogen receptor, beta subunit;CD61;HPA-1;HPA-4
01429	PDGFRA	NP_006197.1	Platelet derived growth factor receptor, alpha;CD140A antigen;PDGFR2
01430	CD36	NP_000063.2	Fatty acid translocase;FAT;Collagen receptor, platelet;Leukocyte differentiation antigen CD36;PAS IV;Platelet glycoprotein IV;GP4;Glycoprotein IIIB;GP IIIb;GP3B;Thrombospondin receptor;PAS4 protein
01431	GP5	NP_004479.1	Platelet glycoprotein V;GP V;CD42D
01432	GP9	NP_000165.1	Glycoprotein IX, platelet;GP IX;CD42a
01433	SELP	NP_002996.2	Platelet alpha granule membrane protein;CD62;Granulocyte membrane protein;GRMP;GMP 140;PSGL-1
01434	PVR	NP_006496.3	PVS;CD155;CD155 antigen;HVED
01435	PARP1	NP_001609.2	ADPRT1;Poly(ADP ribose) polymerase;PPOL;Poly(ADP ribose) polymerase 1;Poly(ADP ribose) synthetase;ADP-ribosyltransferase NAD(+);PARP
01436	PIGR	NP_002635.2	Poly Ig receptor;Transmembrane secretory component
01437	PKD2	NP_000288.1	Autosomal dominant polycystic kidney disease type II protein;Polycystic kidney disease 2;APKD2;Polycystwin
01438	POLG	NP_002684.1	DNA polymerase, gamma-1;POLG1;POLG, Catalytic subunit POLG-alpha;POLGA;DNA polymerase gamma subunit 1;Mitochondrial DNA polymerase catalytic subunit PolG-alpha;MDP1
01439	APC	NP_000029.2	Adenomatous polyposis coli protein;APC protein;FPC;FAP;GS;AAPC
01440	HMBS	NP_000181.2	Pre-uroporphyrinogen synthase;Hydroxymethylbilane synthase isoform 1;Hydroxymethylbilane synthase isoform 2;Uroporphyrinogen I synthase;Uroporphyrinogen I synthetase;UPS;PBG-D;Hydroxymethylbilane synthase;PBGD
01441	UROD	NP_000365.3	Uroporphyrinogen III decarboxylase;UPD
01442	KCNE1	NP_000210.2	Minimal potassium ion channel;IsK slow voltage gated potassium channel protein;MinK;Human cardiac delayed rectifier potassium channel protein
01443	KCNA2	NP_004965.1	Potassium voltage gated channel shaker related subfamily member 2;HK4;KV1.2;HBK5;HUKIV;MK2;NGK1;RBK2;Voltage gated potassium channel protein Kv1.2
01444	KCNA4	NP_002224.1	Voltage gated potassium channel protein Kv1.4;HK1;HBK4;HUKII;Potassium channel, type A;Potassium channel, rapidly inactivating;Potassium channel 2;PCN2
01445	KCNA7	NP_114092.2	-
01446	DLK1	NP_003827.3	Delta like protein;Fetal antigen 1;PREF1;FA1;pG2;DLK
01447	TTR	NP_000362.1	Prealbumin, thyroxine binding;Prealbumin;TBPA;PALB;ATTR
01448	PAPPA	NP_002572.2	PAPA;Igf dependent Igfbp4 protease;Insulin like growth factor dependent Igf binding protein 4 protease;IGFBP4ase
01449	PSG1	NP_008836.2	PSBG1;PSGGA;B1G1;Pregnancy specific beta 1 glycoprotein 1 C/D;Ps-Beta-C/D;Fetal liver non specific cross-reactive antigen 2;Fl-Nca-2;Psg95;PSG1a
01450	PSG10	Q15235	-
01451	PFN2	NP_444252.1	Profilin 2 isoform b;Profilin 2 isoform a;D3S1319E;PFL;Profilin II
01452	PFN1	NP_005013.1	-
01453	PRNP	NP_000302.1	Prion protein preproprotein;CJD;GSS;PrPc;MGC26679;PrP27-30;PrP33-35C;CD230 antigen;PRP;Prion related protein;PRIP;ASCR;CD230
01454	PHB	NP_002625.1	-
01455	INS	NP_000198.1	Proinsulin
01456	PCNA	NP_002583.1	MGC8367;Cyclin;DNA polymerase delta auxillary protein
01457	PRLR	NP_000940.1	-
01458	PRDX1	NP_002565.1	EC 1.11.1.15;Proliferation associated gene A;PAGA Natural killer enhancing factor A;NKEFA;Thioredoxin peroxidase 2;Thioredoxin dependent peroxide reductase 2;Proliferation associated protein PAG;Natural killer cell enhancing factor A;NKEF-A;TDPX2;PAGB;PAGA;PAG;MSP23
01459	PMCH	NP_002665.2	Melanin concentrating hormone;MCH
01460	PSAP	NP_001035930.1	Prosaposin isoform b preproprotein;Prosaposin isoform c preproprotein;Prosaposin isoform a preproprotein;Saposin A;Protein A;Saposin B;Sphingolipid activator protein 1;SAP-1;Cerebroside sulfate activator;Cerebroside sulfatase activator;CSAct;Dispersin;Sulfatide/GM1 activator;Saposin C;Co-beta-glucosidase;A1 activator;Glucosylceramidase activator;Sphingolipid activator protein 2;SAP-2;Saposin D;Protein C;Component C
01461	KLK3	NP_001639.1	Prostate specific antigen isoform 3 preproprotein;Prostate specific antigen isoform 1 preproprotein;Prostate specific antigen isoform 4 preproprotein;Prostate specific antigen isoform 5 preproprotein;Prostate specific antigen isoform 6 preproprotein;Prostate specific antigen;PSA;Gamma seminoprotein;Semenogelase;Seminin;P-30 antigen;APS;KLK2A1;HK3;EC 3.4.21.77
01462	POMC	NP_000930.1	NPP;Melanotropin gamma;Gamma-MSH;Corticotropin;Adrenocorticotropic hormone;ACTH;Melanotropin alpha;Alpha-MSH;Corticotropin like intermediary peptide;CLIP;Lipotropin beta;Beta-LPH;Lipotropin gamma;Gamma-LPH;Melanotropin beta;Beta-MSH;Beta endorphin;Met-enkephalin;POC;Pro-ACTH-endorphin;Melanocyte stimulating hormone;Lipotropin;Melanotropin
01463	PSMA3	NP_002779.1	MGC12306;MGC32631;EC 3.4.25.1;Proteasome alpha 3 subunit isoform 1;Proteasome alpha 3 subunit isoform 2;HC8;PSC3;PSC8;Proteasome component C8;Macropain subunit C8;Multicatalytic endopeptidase complex subunit C8
01464	PSMA5	NP_002781.2	Proteasome component 5;PSC5;Proteasome subunit zeta;Macropain zeta chain;Multicatalytic endopeptidase complex zeta chain
01465	PSMB10	NP_002792.1	Proteasome subunit MECL1;Proteasome MECl-1;Macropain subunit MECl-1;Multicatalytic endopeptidase complex subunit MECl-1;MECL1;LMP10;Proteasome subunit beta 7i Proteasome catalytic subunit 2i
01466	PROC	NP_000303.1	PC;Blood coagulation factor XIV;Anticoagulant protein C;Autoprothrombin IIA;Vitamin K dependent protein C
01467	AMBP	NP_001624.1	Alpha 1 microglobulin/bikunin precursor;Alpha 1 microglobulin;Protein HC;HCP;Inter alpha trypsin inhibitor, light chain;ITIL;HI-30
01468	EIF2AK2	NP_002750.1	PKR;Interferon induced, double stranded RNA activated protein kinase;Interferon inducible RNA dependent protein kinase;p68 kinase;P1/eIF-2A protein kinase
01469	MAP2K1	NP_002746.1	Mitogen activated protein kinase kinase 1;MKK1;MAPKK1;PRKMK1;Dual specificity mitogen activated protein kinase kinase 1;MAP kinase kinase 1;ERK activator kinase 1;MAPK/ERK kinase 1
01470	PTPN11	NP_002825.3	SHP2;CFC;NS1;BPTP3;MGC14433;SH-PTP2;SH-PTP3;EC 3.1.3.48;SHP-2;Shp2;SH2 containing protein tyrosine phosphatase 2;Protein tyrosine phosphatase 2C;PTP2C;Tyrosine phosphatase SHP2;PTP-1D;Syp
01471	PTPN4	NP_002821.1	Protein tyrosine phosphotase, megakaryocyte;PTPMEG;PTPMEG1;Phosphotase, megakaryocyte;Protein tyrosine phosphatase MEG1;PTPase MEG1;MEG
01472	PTPN5	NP_116170.3	FLJ14427;Protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) isoform b;Protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) isoform a;Protein tyrosine phosphatase striatum enriched;Neural specific protein tyrosine phosphatase;PTPN;STEP
01473	PROS1	NP_000304.2	Vitamin K dependent protein S;PSA;PROSP;Protein S, beta;PROS2;PSB
01474	PTPRB	NP_001103224.1	Protein tyrosine phosphatase, beta;RPTP beta;PTPB;HPTP-BETA;HPTPB
01475	PTPN6	NP_536859.1	Protein tyrosine phosphatase, non-receptor type 6 isoform 2;SHP-1;SHP1;HPTP1C;SHP-1L;70 kda SHP-1L protein;Hematopoietic cell protein-tyrosine phosphatase;Protein tyrosine phosphatase, non-receptor type 6 isoform 1;Protein tyrosine phosphatase 1C;Tyrosine phosphatase SHP1;SH2 containing protein tyrosine phosphatase 1;Hematopoietic cell phosphatase;PTP1C;HCPH;PTP-1C;SH-PTP1;HCP
01476	PTPRA	NP_002827.1	EC 3.1.3.48;PTP alpha/PTPA LCA-related phosphatase;LRP;Protein tyrosine phosphatase alpha;R-PTP-alpha;PTPA;PTPase-alpha;HEPT;HLPR;HPTPA;HPTPalpha;PTPRL2;RPTPA;Leukocyte common antigen-related peptide;Tyrosine phosphatase alpha;PTPLCA-related phosphatase
01477	PTPN1	NP_002818.1	Tyrosine-protein phosphatase non-receptor type 1;EC 3.1.3.48;Non-receptor tyrosine phosphatase 1;Protein tyrosine phosphatase, placental;Protein tyrosine phosphatase 1B;PTP1B;PTP-1B
01478	PTPRG	NP_002832.3	R-PTP gamma;Protein tyrosine phosphatase gamma;D3S1249;HPTPG;RPTPG;PTPG
01479	PTPRM	NP_001098714.1	PTPRL1;Phosphotyrosine phosphatase receptor mu;RPTPmu;Protein tyrosine phosphatase receptor like 1;RPTPU;hR-PTPu;Protein tyrosine phosphatase mu
01480	PTPN7	NP_542155.1	EC 3.1.3.48;LPTP;BPTP-4;LC-PTP;Protein tyrosine phosphatase, non-receptor type 7 isoform 1;Protein tyrosine phosphatase, non-receptor type 7 isoform 2;Protein tyrosine phosphatase, nonreceptor type, stress induced;PTPNI;Hematopoietic protein tyrosine phosphatase;Protein tyrosine phosphatase LC-PTP;HEPTP
01481	PTPRZ1	NP_002842.2	Protein tyrosine phosphatase zeta;PTP receptor type zeta 1;PTPRZ;HPTP zeta;HPTPZ;R-PTP zeta;PTP18;PTPZ
01482	PRKACB	NP_891993.1	EC 2.7.1.37;MGC9320;MGC41879;DKFZp781I2452;cAMP-dependent protein kinase catalytic subunit beta isoform 1;cAMP-dependent protein kinase catalytic subunit beta isoform 2;cAMP-dependent protein kinase catalytic subunit beta isoform 3;PKA C beta;cAMP dependent protein kinase, beta catalytic subunit
01483	PRKACG	NP_002723.2	KAPG;PKA C gamma;cAMP dependent protein kinase, gamma catalytic subunit
01484	PRKAR2A	NP_004148.1	Protein kinase A, RII alpha subunit
01485	PRKAR1B	NP_002726.1	PRKAR1;cAMP dependent protein kinase type I beta regulatory chain
01486	PRKAR2B	NP_002727.2	PRKAR2;RII-beta
01487	PPP2CB	NP_004147.1	EC 3.1.3.16;PP2CB;Serine/threonine protein phosphatase 2A, catalytic subunit, beta isoform;PP2A beta
01488	F2	NP_000497.1	Coagulation factor II;Factor II;Thrombin
01489	S100A1	NP_006262.1	S100A;S 100 protein alpha chain;S100 calcium binding protein A1
01490	TYK2	NP_003322.3	Protein tyrosine kinase 2;Non receptor tyrosine protein kinase TYK2;JTK1
01491	FER	NP_005237.2	FPS/FES related tyrosine kinase;Protein tyrosine kinase 3;TYK3;Proto oncogene tyrosine protein kinase FER;p94-FER;c-FER
01492	FGFR2	NP_075261.1	Fibroblast growth factor receptor 2 isoform 1;Fibroblast growth factor receptor 2 isoform 3;Keratinocyte growth factor receptor;KGFR;Fibroblast growth factor receptor BEK;KSAM 1;K sam protein;Protein tyrosine kinase receptor like 14;FGF receptor;TK14;BEK;JWS;CFD1;ECT1;TK25;BFR-1;EC 2.7.1.112;Tyrosylprotein kinase;Bacteria expressed kinase;Hydroxyaryl protein kinase;BEK fibroblast growth factor receptor;Transmembrane protein tyrosine kinase;CEK3
01493	EPHA8	NP_065387.1	EPH receptor A8 isoform 2;EPH receptor A8 isoform 1;Ephrin receptor EphA8;Eph and Elk related kinase;EEK;HEK3;EC 2.7.1.112;Tyrosine protein kinase receptor EEK;KIAA1459;Tyrosylprotein kinase;Protein tyrosine kinase;Hydroxyaryl protein kinase;Ephrin type A receptor 8
01494	EPHA2	NP_004422.2	Ephrin type A receptor 2;ECK
01495	ZAP70	NP_001070.2	Zeta-chain (TCR) associated protein kinase (70 kD);SRK;STD;TZK;EC 2.7.1.112;70 kDa zeta associated protein;Truncated ZAP kinase;Syk-related tyrosine kinase;Zeta-chain associated protein kinase, 70kD
01496	MAPK1	NP_002736.3	Mitogen activated protein kinase 1;Protein kinase, mitogen activated, 1;PRKM1;Protein kinase, mitogen activated, 2;PRKM2;Protein tyrosine kinase ERK2;Extracellular signal regulated kinase 2;p42MAPK;Mitogen activated protein kinase 2;p41mapk;ERK;p38;p40;p41;ERT1;MAPK2;MAP kinase 2;EC 2.7.1.37
01497	MAPK4	NP_002738.2	Mitogen activated protein kinase 4;Protein kinase, mitogen activated, 4;PRKM4;Protein tyrosine kinase ERK3 related;p63MAPK
01498	PRKCA	NP_002728.1	PKC alpha
01499	PRKCB	NP_002729.2	PKCB;PRKCB;PRKCB2;PKC beta;PKC-B;MGC41878;EC 2.7.1.37;Protein kinase C, beta;Protein kinase C, beta 1 polypeptide;Protein kinase C, beta isoform 2;Protein kinase C, beta isoform 1
01500	PRKCE	NP_005391.1	PKC epsilon;PKCE;nPKC epsilon
01501	PRKCD	NP_006245.2	MAY1;MGC49908;nPKC-delta;Protein kinase C delta type
01502	PRKCG	NP_002730.1	PKC gamma;PKCC;PKCG
01503	GNB2L1	NP_006089.1	Guanine nucleotide binding protein beta 2 like 1;Protein kinase C receptor for activated 1;Guanine nucleotide binding protein beta subunit like protein 12.3;P205;Receptor of activated protein kinase C 1;Receptor for activated C kinase;Gnb2-rs1
01504	PRKCZ	NP_002735.3	PKC Zeta;PKCZ;PKC2;OTTHUMP00000044160;EC 2.7.1.37;Protein kinase C, zeta isoform 1;Protein kinase C, zeta isoform 2
01505	S100B	NP_006263.1	S100 beta;S-100 protein, beta chain;NEF
01506	S100A5	NP_002953.1	S100D
01507	S100A3	NP_002951.1	S100E
01508	S100A2	NP_005969.1	S 100L protein;CAN19
01509	FECH	NP_001012533.1	Heme synthetase;Protoheme ferro-lyase;Ferrochelatase, mitochondrial;EC 4.99.1.1;EPP;FCE;Ferrochelatase (protoporphyria);Heme synthase;Iron chelatase;Ferrochelatase isoform b precursor;Ferrochelatase isoform a precursor
01510	SERPINE2	NP_001130002.1	Glial derived neurite promoting factor;PN1;Glial derived nexin 1;Serine protease inhibitor, clade E 2;Protease inhibitor 7;PI7;Plasminogen activator inhibitor type 1, member 2
01511	PSKH1	NP_006733.1	Serine/threonine protein kinase H1;PSK H1;EC 2.7.1.37
01512	PRTN3	NP_002768.3	Myeloblastin;Leukocyte proteinase 3;PR3;AGP7;Wegener`s autoantigen;P29;C-ANCA antigen;Neutrophil proteinase 4;NP 4;MBT;Azurophil granule protein 7;Serine proteinase, neutrophil;EC 3.4.21.76
01513	SRGN	NP_002718.2	PRG;PPG;Serglycin;Secretory granule proteoglycan core protein;Platelet proteoglycan core protein;Hematopoetic proteoglycan core protein
01514	PSMB9	NP_002791.1	Large multifunctional protease 2;LMP2;Proteasome related gene 2;RING12;Proteasome chain 7;Proteasome subunit beta 6i;Low molecular mass protein 2;Proteasome catalytic subunit 1i;Multicatalytic endopeptidase complex chain 7;Proteasome beta 9 subunit isoform 2 proprotein;Proteasome beta 9 subunit isoform 1 proprotein
01515	PSMB8	NP_683720.2	Large multifunctional protease 7;LMP7;Proteasome-related gene 7;RING10;Proteasome component C13;Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7);D6S216;D6S216E;MGC1491;Proteasome beta 8 subunit;OTTHUMP00000062981;Macropain subunit C13;Proteasome subunit Y2;Proteasome subunit beta 5i;Low molecular weight protein 7;Proteasome catalytic subunit 3i;Y2;EC 3.4.25.1;Proteasome beta 8 subunit isoform E2 proprotein;Proteasome beta 8 subunit isoform E1 proprotein
01516	CHRND	NP_000742.1	Acetylcholine receptor muscle delta subunit;Acetylcholine receptor protein delta chain;ACHRD
01517	EPB42	NP_000110.2	Protein 4.2, erythrocytic;E42P;Pallidin;P4.2;Erythrocyte membrane protein band 4.2;Erythrocyte surface protein band 4.2
01518	MAF	NP_005351.2	Transcription factor Maf;Protooncogene c-maf;MGC71685;c-maf proto-oncogene;T lymphocyte c-maf long form;v-maf musculoaponeurotic fibrosarcoma oncogene homolog isoform a;v-maf musculoaponeurotic fibrosarcoma oncogene homolog isoform b;Musculoaponeurotic fibrosarcoma (MAF) protooncogene
01519	BCHE	NP_000046.1	Pseudocholinesterase E1;CHE1;Acylcholine acylhydrolase;Choline esterase II;EC 3.1.1.8
01520	SFTPC	NP_003009.2	Surfactant, pulmonary associated protein C;Surfactant associated protein, pulmonary 2;SFTP2;Pulmonary surfactant apoprotein;PSP-C;SP-C;Surfactant proteolipid SPL-pVal;Pulmonary surfactant protein SP5
01521	SFTPA1	NP_005402.3	Surfactant associated protein, pulmonary 1;Pulmonary surfactant apoprotein PSP-A;Pulmonary surfactant associated protein, 35 kDa;35 kDa pulmonary surfactant associated protein;Pulmonary surfactant associated protein A;Alveolar proteinosis protein;PSAP;SFTP1;PSPA;PSP-A;SPA;SP-A;SPA1;Collectin 4;COLEC4;Surfactant, pulmonary associated protein A1
01522	SFTPD	NP_003010.4	SFTP4;Collectin 7;COLEC7;Surfactant protein D;Surfactant assocaited protein, pulmonary 4;Pulmonary surfactant apoprotein PSP-D;Surfactant, pulmonary associated protein D;PSP-D surfactant protein D;SP-D;PSP-D
01523	SFTPB	NP_942140.1	Surfactant, pulmonary associated protein B;Surfactant associated protein, pulmonary 3;SFTP3;SFTPB3;Pulmonary surfactant apoprotein PSP-B;PSP-B;SP-B;Pulmonary surfactant associated protein, 18-KD;Pulmonary surfactant associated proteolipid SPL(Phe);6 kDa protein;Pulmonary surfactant-associated protein B;18 kDa pulmonary-surfactant protein
01524	SFTPA2	NP_008857.2	Surfactant, pulmonary associated protein A2;35 kDa pulmonary surfactant associated protein;Pulmonary surfactant protein AII;Pulmonary surfactant associated protein A1;Alveolar proteinosis protein;Surfactant protein;SPAII;SPA2;Collectin 5;COLEC5;SP-A;PSP-A;PSAP;SP-2A beta;SP-A1 beta;SP-2A gamma;SP-A1 alpha;SP-A1 delta;SP-A1 gamma;SP-A2 alpha;SP-A2 delta;SP-A1 epsilon
01525	MMP7	NP_002414.1	Matrilysin, Uterine;Putative metalloproteinase I;PUMP1;Matrin
01526	PDXK	NP_003672.1	Pyrodoxine kinase;Vitamin B6 kinase;PNK;PKH
01527	PPA1	NP_066952.1	Pyrophosphatase, inorganic;Pyrophosphate phospho-hydrolase;Cytosolic inorganic pyrophosphatase;Inorganic pyrophosphatase 1;IOPPP;PPase;PP
01528	PYCR1	NP_008838.2	P5CR;P5C reductase 1;PP222;P5C;EC 1.5.1.2;P5C reductase;Pyrroline-5-carboxylate reductase 1 isoform 1;Pyrroline-5-carboxylate reductase 1 isoform 2;Proliferation-inducing protein 45;PYCR;PIG45
01529	PKM2	NP_872270.1	Thyroid hormone-binding protein, cytosolic;Cytosolic thyroid hormone-binding protein;Pyruvate kinase muscle isozyme;Pyruvate kinase, M1 isozyme;OPA-interacting protein 3;PK, muscle type;CTHBP;THBP1;OIP3;PKM;EC 2.7.1.40;MGC3932;PK3;Pyruvate kinase M 2;Pyruvate kinase 3 isoform 1;Pyruvate kinase 3 isoform 2;Pyruvate kinase, muscle
01530	PDHB	NP_000916.2	Pyruvate dehydrogenase E1 component beta subunit, mitochondrial;E1 beta polypeptide;PHE1B;PDHE1-B
01531	PDHA2	NP_005381.1	Pyruvate dehydrogenase E1 component alpha subunit, testis specific mitochondrial form;PDHE1-A type II
01532	RABGGTB	NP_004573.2	Geranylgeranyl transferase type II, beta subunit;RAB GG transferase, beta;GGTB
01533	UBE2B	NP_003328.1	RAD6B;HHR6B;Ubiquitin protein ligase B;Ubiquitin carrier protein B;HR6B
01534	RDX	NP_002897.1	-
01535	RAB3A	NP_002857.1	Ras related protein Rab3A
01536	RRAD	NP_004156.1	GTP binding protein RAD;RAS gene associated with diabetes;RAS related associated with diabetes;RAD1;REM3;RAS (RAD and GEM) like GTP binding 3
01537	RHOG	NP_001656.2	Ras homolog gene G;ARHG;Rho related GTP binding protein RhoG;Sid10750
01538	RAB1A	NP_004152.1	RAB1, member RAS oncogene family;Ras related protein Rab 1A;YPT1 related protein
01539	RAB2A	NP_002856.1	Ras related protein Rab2;Ras related protein Rab2A
01540	RAB3B	NP_002858.2	Ras related protein Rab3B
01541	RAB4A	NP_004569.2	Ras-related protein Rab-4A;RAB4;RAB4A member RAS oncogene family;Oncogene RAB4
01542	RAB5A	NP_004153.2	RAB5;Ras associated protein Rab5A;RAB5A, member RAS oncogene family
01543	RAB6A	NP_002860.2	Ras-associated protein RAB6;Ras related protein 6A;RAB6;Oncogene RAB6;RAB6A, member RAS oncogene family;RAB6A`;Rab GTPase;GTP-binding protein RAB6B;GTP-binding protein RAB6A`;RAB6B;RAB6, member RAS oncogene family;Ras-related protein Rab-6A;Rab-6;RAB6A, member RAS oncogene family isoform a;RAB6A, member RAS oncogene family isoform b
01544	RAB5B	NP_002859.1	Ras related protein Rab5B
01545	RAP1A	NP_002875.1	KREV1;C21KG;KREV-1 protein;SMGP21;RAP1;OTTHUMP00000059089;RAS-related protein RAP1A;Ras-related protein Krev-1;GTP-binding protein smg-p21A;G-22K;RAP1A, member of RAS oncogene family
01546	RAP1B	NP_056461.1	Ras related protein Rap-1b;GTP-binding protein smg p21B;RAL1B;DKFZP586H0723;RAP1B, member of RAS oncogene family;Small GTP binding protein;Ras family small GTP binding protein RAP1B;K-REV
01547	RAP2A	NP_066361.1	RAP2;KREV;RbBP-30
01548	RAP2B	NP_002877.2	-
01549	RALA	NP_005393.2	Ras like protein A;RAL;V-Ral simian leukemia viral oncogene homolog A;MGC48949;Ras family small GTP binding protein RALA
01550	RALB	NP_002872.1	Ras like protein B;Ras related protein RalB;V-Ral simian leukemia viral oncogene homolog B;GTP binding protein
01551	RSU1	NP_036557.1	Rsu 1;Rsp 1;Ras suppressor protein 1 isoform 2;RSP-1;FLJ31034;Ras suppressor protein 1 isoform 1
01552	PTPRF	NP_002831.2	Leucocyte antigen related tyrosine phosphatase;Receptor linked protein tyrosine phosphatase LAR;LAR;Leukocyte antigen related PTP receptor;EC 3.1.3.48;Receptor type tyrosine protein phosphatase F;Protein tyrosine phosphatase, receptor type, F isoform 2 precursor;Protein tyrosine phosphatase, receptor type, F isoform 1 precursor
01553	PRPH2	NP_000313.2	Peripherin, photoreceptor type;PRPH2;RP7
01554	EPHA1	NP_005223.4	Ephrin receptor A1;EPH;Eph tyrosine kinase 1;Ephrin type A receptor 1;Tyrosine protein kinase receptor EPH;Erythropoietin producing hepatoma amplified sequence;EPHT;EPHT1;EC 2.7.1.112
01555	EPHA3	NP_005224.2	Ephrin receptor A3;Human embryo kinase;HEK;Receptor tyrosine kinase HEK;EPH like tyrosine kinase 1;ETK1;TYRO4;Ephrin receptor EphA3 isoform b;Ephrin receptor EphA3 isoform a
01556	RAG1	NP_000439.1	V(D)J recombination activating protein 1;RNF74;MGC43321;Recombination activating protein 1;Truncated recombination activating gene 1;RING finger protein 74
01557	RAD51	NP_597994.3	Recombination protein A;RECA;RAD51A;HRAD51;RAD51 homolog protein;RecA-like protein;DNA repair protein RAD51 homolog 1;HsT16930;HsRad51;RAD51 homolog protein isoform 1;RAD51 homolog protein isoform 2;BRCA1/BRCA2-containing complex, subunit 5
01558	RCVRN	NP_002894.1	CAR protein
01559	RCC1	NP_001041659.1	Regulator of chromosome condensation 1;Regulator of chromosome condensation 1 isoform a;Regulator of chromosome condensation 1 isoform b;Regulator of chromosome condensation 1 isoform c
01560	RLN1	NP_008842.1	Relaxin H1;RLXH1;Prorelaxin H1;Preprorelaxin H1
01561	RLN2	NP_604390.1	Prorelaxin H2;RLXH2;Relaxin, ovarian, of pregnancy;bA12D24.1.2;bA12D24.1.1;H2;Relaxin 2 (H2);Relaxin H2;Relaxin 2 isoform 1 preproprotein;Relaxin 2 isoform 2
01562	PRCC	NP_005964.3	Papillary renal cell carcinoma translocation associated gene protein;RCCP1;Proline rich protein PRCC;MGC4723;MGC17178;Papillary renal cell carcinoma translocation-associated gene product isoform 2;Papillary renal cell carcinoma translocation-associated gene product isoform 1
01563	DPEP1	NP_004404.1	Dipeptidase 1, renal;Dehydropeptidase 1;Microsomal dipeptidase;RDP;MDP
01564	REN	NP_000528.1	Angiotensin forming enzyme;Angiotensinogenase;Renin precursor, renal;FLJ10761;EC 3.4.23.15
01565	RPA1	NP_002936.1	Replication protein A1 70KD;RPA70;REPA1;RF-A;HSSB;RP-A
01566	RPA2	NP_002937.1	RPA32;REPA2
01567	RPA3	NP_002938.1	RPA14;REPA3;RP-A;RF-A;Replication factor A protein 3
01568	CLIP1	NP_002947.1	CLIP170;Cytoplasmic linker protein 170 alpha 2;Cytoplasmic linker protein 170;Reed Sternberg microtubule associated protein;Cytoplasmic linker 1;Reed Steinberg cell expressed intermediate filament associated protein;CYLN1;CLIP;CLIP1;CLIP-170;Restin isoform b;RSN;MGC131604;Restin;Restin isoform a
01569	RPE65	NP_000320.1	Retinal pigment epithelium specific 65 kDa protein;LCA2;RP20;Retinal pigment epithelium specific protein 65KD
01570	PDE6A	NP_000431.2	Retinal rod photoreceptor cGMP phosphodiesterase, alpha subunit;PDEA;Phosphodiesterase 6A, cGMP specific, rod, alpha;GMP-PDE alpha;PDE V-B1;Rod cGMP specific 3 prime, 5 prime cyclic phosphodiesterase alpha;CGPR-A
01571	PDE6B	NP_000274.2	Phosphodiesterase 6B, cGMP specific, rod, beta;Retinal rod photoreceptor cGMP phosphodiesterase, beta subunit;PDEB;Rod cGMP specific 3`,5`-cyclic phosphodiesterase beta;GMP-PDE beta
