00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
03753	03753_1	NP_031367.1	SH3BGR	Isoform_specific	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03754	-	NP_008867.2	SUMO3	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	Cytosol (GO:0005829); Nucleus (GO:0005634)	15561729,,18644859,
03754	03754_1	NP_008867.2	SUMO3	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	,18644859,
03755	-	NP_863651.1	APAF1	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Anti-apoptosis (GO:0006916)	12963020	Cytoplasm (GO:0005737); Golgi apparatus (GO:0005794)	9267021,11457460
03755	03755_2	NP_037361.1	APAF1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03756	-	NP_001220.2	CASP9	General	Cysteine-type peptidase activity (GO:0008234)	-	Apoptosis (GO:0006915)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11803376,12782307,11448953,17167422,11803376
03757	-	NP_742105.1	KCNQ2	General	Voltage-gated ion channel activity (GO:0005244)	9677360,11160379	Transport (GO:0006810)	9677360,11160379	Plasma membrane (GO:0005886)	15304482,12223552
03757	03757_1	NP_742105.1	KCNQ2	Isoform_specific	Voltage-gated ion channel activity (GO:0005244)	-	Transport (GO:0006810)	-	-	-
03757	03757_5	NP_742107.1	KCNQ2	Isoform_specific	-	-	-	-	Endoplasmic reticulum (GO:0005783)	11160379
03758	-	NP_055100.2	EXOSC2	General	Ribonuclease activity (GO:0004540)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Nucleolus (GO:0005730)	11719186,12788944,11719186,15635413
03759	-	NP_000774.2	CYP26A1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783)	9228017,8601734
03759	03759_1	NP_000774.2	CYP26A1	Isoform_specific	-	-	-	-	Endoplasmic reticulum (GO:0005783)	9228017
03760	-	NP_006289.2	ZNF192	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03761	-	NP_005923.2	MIPEP	General	Metallopeptidase activity (GO:0008237)	-	Protein metabolism (GO:0019538)	-	Mitochondrion (GO:0005739)	9073519
03762	-	NP_004060.2	AP2S1	General	Receptor signaling complex scaffold activity (GO:0030159)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	2040623,2495531
03763	-	NP_004348.2	CD151	General	Receptor activity (GO:0004872)	10036233	Cell communication (GO:0007154); Cell motility (GO:0006928)	10036233,15226180,10036233	Plasma membrane (GO:0005886); Late endosome (GO:0005770); Perinuclear region (GO:0048471); Early endosome (GO:0005769)	9602068,10036233,10036233,10036233,10036233
03764	-	NP_004935.1	DNASE1L3	General	Deoxyribonuclease activity (GO:0004536)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	12943533,11141064
03765	-	NP_004277.2	GTPBP1	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737)	10938096
03766	-	NP_006290.1	ZNF193	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03767	-	NP_001552.2	TNFRSF9	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Extracellular (GO:0005576)	10604232,11970964,11970964
03768	-	NP_036588.1	TIMM10	General	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	Mitochondrial membrane (GO:0005740); Mitochondrion (GO:0005739)	14726512,9430585
03769	-	AAH30811.1	KLF4	General	Transcription regulator activity (GO:0030528)	9422764	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219); Regulation of cell cycle (GO:0000074)	9422764,12581631	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	15102675,8702718,15102675
03770	-	NP_006365.2	STK25	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Golgi apparatus (GO:0005794); Cytosol (GO:0005829)	15037601,15037601
03771	-	NP_006230.2	PPEF2	General	Protein serine/threonine phosphatase activity (GO:0004722)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03772	-	NP_005497.1	SCARB2	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	7539776
03773	-	NP_003307.3	TTC3	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	17081983
03773	03773_1	NP_003307.3	TTC3	Isoform_specific	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
03774	-	NP_002607.2	PER1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	10848614,17081983,10848614,17081983
03775	-	NP_002419.1	MMP15	General	Metallopeptidase activity (GO:0008237)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Plasma membrane (GO:0005886)	10949161,7649159
03776	-	NP_005932.2	MMP16	General	Metallopeptidase activity (GO:0008237)	9092507,12879005	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Plasma membrane (GO:0005886)	10949161,7559440
03776	03776_1	NP_005932.2	MMP16	Isoform_specific	Metallopeptidase activity (GO:0008237)	-	Protein metabolism (GO:0019538)	-	-	-
03777	-	NP_001100.3	ADAM8	General	Metallopeptidase activity (GO:0008237)	-	Protein metabolism (GO:0019538)	-	Plasma membrane (GO:0005886)	9126482
03778	-	NP_001661.1	ARVCF	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	-	Plasma membrane (GO:0005886); Nucleus (GO:0005634)	11058098,11058098,10725230
03779	-	NP_004036.1	ATOX1	General	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	10497213,10557326,10557326
03780	-	NP_001077431.1	TCF4	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytosol (GO:0005829)	1681116,16306047,16724116,12944908,16306047
03781	-	NP_065207.2	GALNT1	General	Galactosyltransferase activity (GO:0008378)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794)	2681181,2681181
03782	-	NP_004472.1	GALNT2	General	Galactosyltransferase activity (GO:0008378)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Golgi apparatus (GO:0005794)	12754287
03783	-	NP_002089.4	GUCA1B	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03784	-	NP_001479.3	TADA2A	General	Transcription regulator activity (GO:0030528)	12972612,8552087	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	12972612,8552087	Nucleus (GO:0005634)	9073520
03784	03784_1	NP_001479.3	TADA2A	Isoform_specific	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
03785	-	NP_009080.2	ZNF184	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03786	-	NP_940682.2	NEDD4	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Nucleus (GO:0005634)	9073511,9182527,11342538,9405440,11342538
03787	-	NP_004634.1	PABPN1	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleoplasm (GO:0005654)	11001936,10358005,10205180
03788	-	NP_003313.3	TULP1	General	Transcription regulator activity (GO:0030528)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Nucleolus (GO:0005730)	10607826,1000483,11481257,10549638,1000483
03789	-	NP_005919.2	MFGE8	General	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Extracellular (GO:0005576)	11856354,9260929,12000961,11856354
03790	-	NP_476500.1	LPAR1	General	G-protein coupled receptor activity (GO:0004930)	12393875,9804623,8922387	Signal transduction (GO:0007165); Cell communication (GO:0007154)	12393875,9804623,8922387,12393875,9804623,8922387	Plasma membrane (GO:0005886)	11948806
03790	03790_1	NP_476500.1	LPAR1	Isoform_specific	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03791	-	NP_005614.2	CCL8	General	Chemokine activity (GO:0008009)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	8189067
03792	-	NP_001711.2	BMP8B	General	Growth factor activity (GO:0008083)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	1460021
03793	-	NP_057239.4	MMP17	General	Metallopeptidase activity (GO:0008237)	-	Protein metabolism (GO:0019538)	-	Extracellular (GO:0005576); Plasma membrane (GO:0005886)	10949161,10567400,10567400
03794	-	NP_006808.1	ERP29	General	Chaperone activity (GO:0003754)	9738895,11897809	Protein folding (GO:0006457)	9738895,11897809	Endoplasmic reticulum (GO:0005783); Mitochondrion (GO:0005739)	9738895,11897809,9492298,15598749
03795	-	NP_001015055.1	RTKN	General	Transcription regulator activity (GO:0030528)	10940294	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,10940294,15480428	Cytoplasm (GO:0005737)	10940294
03796	-	NP_006433.2	DRAP1	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	8972183,8608938
03797	-	NP_036342.2	TRIM32	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	7778269
03798	-	NP_001445.2	FOXJ1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9096351,9073514
03799	-	NP_004083.3	ECHS1	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739)	8012501,7669045
03800	-	NP_006375.2	CIB1	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783)	10366599,15190070,10366599,10366599,10366599
03801	-	NP_004487.2	FOXA1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	8652662,1612587,19059367
03802	-	NP_004488.2	FOXA3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9119385,9632808
03803	-	NP_004713.2	AP4M1	General	Transporter activity (GO:0005215)	-	Transport (GO:0006810)	-	Golgi apparatus (GO:0005794); Perinuclear region (GO:0048471); Dendrite (GO:0030425)	10066790,14572453,14572453,14572453
03804	-	NP_001397.1	EFNB3	General	Receptor binding (GO:0005102)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9126477
03805	-	NP_004628.4	RAB7A	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Endosome (GO:0005768); Lysosome (GO:0005764); Mitochondrion (GO:0005739)	8910576,10679007,15598749
03806	-	NP_004852.1	GAL3ST1	General	Sulfotransferase activity (GO:0008146)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794)	5562350,911873,6280086,6955451,4710574
03807	-	NP_066564.2	KAT2A	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9073520,16260778
03808	-	NP_005135.2	HR	General	Transcription factor activity (GO:0003700)	9445480	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	9445480	Nucleus (GO:0005634)	11641275,12847098
03809	-	NP_005117.3	NR1D2	General	Ligand-dependent nuclear receptor activity (GO:0004879)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	7997240
03810	-	NP_004752.1	RGL2	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03811	-	NP_008944.1	WWP1	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
03811	03811_1	NP_008944.1	WWP1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03812	-	NP_008945.2	WWP2	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
03813	-	NP_003314.2	TULP2	General	Transcription regulator activity (GO:0030528)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03814	-	NP_058521.1	RBMS1	General	DNA binding (GO:0003677)	7838710,10869558	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	7838710,10869558	Nucleus (GO:0005634)	7838710
03815	-	NP_005549.2	LAD1	General	Cytoskeletal anchoring activity (GO:0016343)	-	Cell growth and/or maintenance (GO:0008151)	-	Plasma membrane (GO:0005886)	9804354,9665393
03816	-	NP_659732.1	MAP2K3	General	Protein serine/threonine kinase activity (GO:0004674)	8622669	Signal transduction (GO:0007165)	8622669,7839144	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	9768359,9768359
03817	-	NP_004896.1	PRDX6	General	Peroxidase activity (GO:0004601)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Lysosome (GO:0005764)	12650976,9497358,8999971
03818	-	NP_036339.1	HNRNPH3	General	Ribonucleoprotein (GO:0003733)	8999868	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	8999868	Nucleus (GO:0005634); Nucleolus (GO:0005730); Mitochondrion (GO:0005739)	8999868,11790298,15635413,15598749
03818	03818_1	NP_036339.1	HNRNPH3	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03819	-	NP_002304.3	ABLIM1	General	Cytoskeletal protein binding (GO:0008092)	9245787,9417918	Cell growth and/or maintenance (GO:0008151)	9245787,9417918	Actin cytoskeleton (GO:0015629)	9245787
03819	03819_1	NP_002304.3	ABLIM1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03819	03819_3	NP_006711.3	ABLIM1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03820	-	NP_056156.2	NCAPH	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	-	Nucleolus (GO:0005730); Kinetochore (GO:0000776); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	11694586,15561729,17081983,17081983
03821	-	NP_005003.2	ROR1	General	Transmembrane receptor protein tyrosine kinase activity (GO:0004714)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Cytoplasm (GO:0005737)	1334494,8875995
03822	-	NP_004551.2	ROR2	General	Transmembrane receptor protein tyrosine kinase activity (GO:0004714)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	1334494
03823	-	NP_973731.1	FOXM1	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	12183437,12183437
03824	-	NP_000428.2	PAFAH2	General	Lipase activity (GO:0016298)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886)	12406338,8955149,12406338
03825	-	NP_003623.1	CNTNAP1	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	11496158
03826	-	NP_003075.1	SNAPC3	General	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	11094070
03827	-	NP_006172.1	NTN3	General	Chemokine activity (GO:0008009)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	9143507
03828	-	NP_006167.1	NRGN	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Endoplasmic reticulum (GO:0005783)	7898318,7898318
03829	-	NP_001135815.1	CMKLR1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	8976386
03830	-	NP_001492.1	GNRH2	General	Hormone activity (GO:0005179)	-	Signal transduction (GO:0007165)	11459794	Extracellular (GO:0005576)	15001648
03831	-	NP_001035919.1	TGFB1I1	General	Transcription regulator activity (GO:0030528)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Nucleus (GO:0005634)	9032249
03831	03831_2	NP_001035919.1	TGFB1I1	Isoform_specific	-	-	-	-	Microtubule (GO:0005874)	,18029348,
03832	-	NP_001014989.2	LAT	General	Receptor signaling complex scaffold activity (GO:0030159)	9529333	Immune response (GO:0006955)	9529333	Plasma membrane (GO:0005886); Endosome (GO:0005768)	9489702,11756537,14996932,12077228,11752630,14996932
03833	-	NP_665802.1	TRAF6	General	Signal transducer activity (GO:0004871)	-	Signal transduction (GO:0007165)	15634933,10882101,11250893	Cytoplasm (GO:0005737); Plasma membrane (GO:0005886); Cytosol (GO:0005829)	11960013,,19898473,,,19898473,
03834	-	NP_004610.1	TRAF5	General	Signal transducer activity (GO:0004871)	8790348,9511754,9582383	Signal transduction (GO:0007165)	9511754,8790348,10025951,10449775	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	12000717,8790348,10025951,8790348
03835	-	NP_003378.3	WIPF1	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737)	12147689
03836	-	NP_001515.1	HCRT	General	Hormone activity (GO:0005179)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576)	9491897
03837	-	NP_005022.2	FXYD1	General	Ion channel activity (GO:0005216)	9169143	Muscle contraction (GO:0006936)	9169143	Plasma membrane (GO:0005886)	9169143
03838	-	NP_001473.1	GATM	General	Amidinotransferase activity (GO:0015067)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739); Cytoplasm (GO:0005737)	9148748,9148748
03839	-	NP_002874.1	RANGAP1	General	GTPase activator activity (GO:0005096)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Kinetochore (GO:0000776); Microtubule (GO:0005874)	8978815,9019411,17081983,8978815,9019411,9442102,17000644,17081983,17363900,15561729
03840	-	NP_001326.2	CTSW	General	Cysteine-type peptidase activity (GO:0008234)	-	Protein metabolism (GO:0019538)	-	Endoplasmic reticulum (GO:0005783)	11490002
03841	-	NP_001805.3	CTSC	General	Cysteine-type peptidase activity (GO:0008234)	-	Protein metabolism (GO:0019538)	-	Lysosome (GO:0005764); Mitochondrion (GO:0005739)	11327826,15598749
03842	-	NP_004508.1	ILK	General	Protein serine/threonine kinase activity (GO:0004674)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Microsome (GO:0005792)	12060675,16221682,16221682
03843	-	NP_002513.2	NPTX1	General	Transporter activity (GO:0005215)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Extracellular (GO:0005576); Plasma membrane (GO:0005886)	10748068,10748068
03844	-	NP_002057.1	GML	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	-
03845	-	NP_004448.2	ACSL3	General	CoA-ligase activity (GO:0016405)	8663269	Fatty acid metabolism (GO:0006631)	8663269	Mitochondrion (GO:0005739); Peroxisome (GO:0005777)	6240978,15561729,6240978
03846	-	NP_003377.1	ZAN	General	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	9126492
03846	03846_1	NP_003377.1	ZAN	Isoform_specific	Cell adhesion molecule activity (GO:0005194)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03847	-	NP_004359.1	CNN2	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634); Mitochondrion (GO:0005739)	9049805,12388067,15598749
03848	-	NP_001830.1	CNN3	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	10457177,17081983,17081983
03849	-	NP_002940.2	MRPL12	General	Structural constituent of ribosome (GO:0003735)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Mitochondrion (GO:0005739); Nucleolus (GO:0005730)	8626705,15635413
03850	-	NP_997468.1	IFNAR2	General	Receptor activity (GO:0004872)	7665574	Cell communication (GO:0007154); Signal transduction (GO:0007165)	7665574,7665574	Plasma membrane (GO:0005886); Extracellular (GO:0005576)	8181059,7759950,7759950
03851	-	NP_004399.2	DNM1	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Endocytic vesicle (GO:0030139); Mitochondrion (GO:0005739); Cytoplasmic vesicle (GO:0016023); Cytoskeleton (GO:0005856); Cell surface (GO:0009986); Perinuclear region (GO:0048471); Microtubule (GO:0005874); Cytoplasm (GO:0005737)	16049941,11179417,15598749,11242086,8308025,15703209,15703209,15561729,17081983
03851	03851_1	NP_004399.2	DNM1	Isoform_specific	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03852	-	NP_001005360.1	DNM2	General	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoskeleton (GO:0005856); Perinuclear region (GO:0048471); Cell surface (GO:0009986); Mitochondrion (GO:0005739)	7590285,11583995,15703209,15703209,15598749
03852	03852_1	NP_004936.2	DNM2	Isoform_specific	GTPase activity (GO:0003924)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
03853	-	NP_008883.2	UPK1B	General	Receptor activity (GO:0004872)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783)	12475947,12475947
03854	-	NP_005958.1	NAB2	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	8649813
03854	03854_1	NP_005958.1	NAB2	Isoform_specific	-	-	-	-	Cytoplasm (GO:0005737)	17081983
03855	-	NP_002653.1	PLD1	General	Phosphoric diester hydrolase activity (GO:0008081)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Endosome (GO:0005768); Cytoplasm (GO:0005737); Extracellular (GO:0005576); Perinuclear region (GO:0048471)	8530346,9395408,9395408,9395408,8530346,8530346,16923831
03855	03855_1	NP_002653.1	PLD1	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
03856	-	NP_077727.2	OGN	General	Growth factor activity (GO:0008083)	2326263	Organogenesis (GO:0009887); Cell communication (GO:0007154); Signal transduction (GO:0007165)	2326263,-,-	Extracellular (GO:0005576)	2326263
03857	-	NP_002654.3	PLD2	General	Phospholipase activity (GO:0004620)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886); Endosome (GO:0005768); Golgi apparatus (GO:0005794); Nucleus (GO:0005634); Cytoplasm (GO:0005737)	12519790,9395408,9395408,11687572,12429836,11018470
03858	-	NP_789795.1	SULT1C2	General	Sulfotransferase activity (GO:0008146)	11077054	Energy pathways (GO:0006091); Metabolism (GO:0008152)	-,-	Cytoplasm (GO:0005737)	11535246,9635888
03859	-	NP_036388.2	ZNF212	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	9169157
03860	-	NP_002889.1	RBMS2	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
03861	-	NP_003312.3	TUFM	General	Translation regulator activity (GO:0045182)	-	Protein metabolism (GO:0019538)	-	Mitochondrion (GO:0005739); Nucleolus (GO:0005730)	9332382,15561729,15635413,11790298
03862	-	NP_680477.1	PEMT	General	Methyltransferase activity (GO:0008168)	8344945,2295142	Energy pathways (GO:0006091); Metabolism (GO:0008152)	8344945,2295142,8344945,2295142	Mitochondrial membrane (GO:0005740); Plasma membrane (GO:0005886); Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Nucleus (GO:0005634)	12431977,12431977,12431977,6830234,12431977,12431977
03863	-	NP_001516.2	HCRTR1	General	G-protein coupled receptor activity (GO:0004930)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Plasma membrane (GO:0005886)	12690115
03864	-	AAH01883.1	NOLC1	General	Transcription factor activity (GO:0003700)	8972203,9679133	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	8972203,9679133	Nucleolus (GO:0005730); Cytoplasm (GO:0005737)	10567578,15635413,11790298,9679133,7657714
03864	03864_1	AAH01883.1	NOLC1	Isoform_specific	Transcription factor activity (GO:0003700)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
03865	-	NP_065969.3	GPAM	General	Acyltransferase activity (GO:0008415)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Mitochondrion (GO:0005739); Endoplasmic reticulum (GO:0005783); Nucleus (GO:0005634)	11546763,2242030,2303421,17081983
